rental_id,rental_cost
101368080,2
101368081,2
101368082,2
101368083,2
101368084,2
101368086,2
101368172,2
101368173,2
101368174,2
101368176,2
101368182,2
101368200,2
101368291,2
101368347,2
101368348,2
101368349,2
101368360,2
101368378,2
101368389,2
101368505,2
101368703,4
101368705,4
101368836,2
101368843,2
101368886,2
101368952,2
101368961,2
101369011,2
101369067,2
101369077,2
101369101,2
101369133,2
101369140,2
101369141,2
101369148,2
101369151,2
101369209,2
101369214,2
101369226,2
101369241,2
101369271,2
101369276,2
101369298,2
101369342,2
101369383,2
101369397,2
101369406,2
101369413,2
101369425,2
101369430,2
101369433,2
101369442,2
101369452,2
101369454,2
101369468,2
101369478,2
101369492,2
101369501,2
101369515,2
101369522,2
101369540,2
101369541,2
101369556,4
101369593,2
101369600,2
101369607,2
101369618,2
101369675,2
101369718,2
101369727,2
101369736,2
101369776,2
101369798,2
101369807,2
101369830,2
101369842,2
101369866,2
101369878,2
101369887,2
101369928,2
101369931,4
101369950,2
101369957,2
101369974,2
101369991,4
101369999,4
101370006,2
101370009,2
101370024,2
101370027,2
101370031,2
101370095,2
101370097,2
101370168,2
101370189,2
101370192,2
101370201,2
101370230,2
101370251,2
101370265,2
101370278,2
101370295,2
101370356,2
101370385,2
101370393,2
101370403,2
101370404,2
101370406,2
101370473,2
101370590,2
101370621,2
101370623,2
101370670,2
101370685,2
101370736,2
101370740,2
101370779,2
101370787,2
101370807,2
101370909,2
101370951,2
101371000,2
101371008,2
101371011,2
101371019,2
101371035,2
101371041,2
101371060,92
101371067,2
101371072,2
101371092,2
101371118,2
101371167,2
101371168,2
101371229,2
101371238,2
101371261,4
101371262,2
101371315,2
101371327,2
101371340,2
101371392,2
101371400,2
101371405,2
101371434,2
101371472,2
101371489,2
101371512,2
101371522,2
101371536,2
101371550,2
101371555,2
101371565,2
101371594,2
101371646,2
101371658,2
101371677,2
101371719,2
101371724,2
101371734,2
101371751,2
101371782,2
101371787,2
101371809,2
101371848,2
101371860,2
101371897,2
101371923,2
101371939,2
101371950,2
101371968,2
101371980,2
101372010,2
101372028,2
101372042,2
101372048,2
101372049,2
101372088,2
101372091,2
101372092,2
101372095,2
101372139,2
101372201,2
101372202,2
101372205,2
101372210,2
101372238,2
101372333,2
101372343,2
101372368,2
101372405,2
101372414,2
101372419,2
101372458,4
101372463,2
101372473,2
101372477,2
101372512,2
101372521,2
101372547,2
101372557,2
101372574,2
101372651,2
101372667,2
101372706,2
101372725,2
101372742,2
101372806,2
101372807,2
101372812,2
101372825,2
101372836,2
101372869,2
101372883,2
101372899,2
101372938,4
101372942,2
101372955,2
101372958,2
101372968,2
101372979,2
101373014,2
101373023,2
101373036,2
101373058,2
101373078,2
101373091,2
101373097,2
101373118,2
101373133,2
101373148,2
101373149,2
101373163,2
101373170,2
101373191,2
101373224,2
101373227,2
101373275,2
101373324,2
101373341,2
101373368,2
101373371,2
101373414,2
101373416,2
101373459,2
101373539,2
101373580,2
101373596,2
101373611,2
101373616,2
101373641,2
101373645,2
101373662,2
101373672,2
101373707,2
101373753,2
101373758,2
101373808,2
101373836,2
101373837,2
101373869,2
101373933,2
101373973,2
101374002,2
101374008,2
101374052,2
101374084,2
101374096,2
101374119,2
101374140,2
101374149,2
101374160,2
101374162,2
101374179,2
101374204,2
101374215,2
101374227,2
101374246,2
101374247,2
101374284,2
101374288,2
101374290,2
101374296,2
101374303,2
101374326,4
101374343,2
101374360,2
101374362,2
101374385,2
101374389,2
101374415,2
101374428,2
101374433,2
101374474,2
101374535,2
101374568,2
101374580,2
101374593,2
101374615,2
101374637,2
101374645,2
101374678,4
101374687,2
101374706,2
101374734,2
101374763,2
101374806,2
101374814,2
101374867,2
101374868,2
101374898,2
101374906,2
101374934,2
101374938,2
101374940,2
101374984,2
101374995,2
101375000,2
101375001,2
101375030,2
101375037,2
101375040,2
101375044,4
101375067,2
101375076,2
101375083,2
101375118,2
101375123,2
101375135,2
101375138,2
101375178,2
101375192,2
101375218,2
101375224,2
101375269,2
101375278,2
101375282,2
101375290,2
101375305,2
101375306,2
101375372,2
101375437,2
101375455,2
101375549,2
101375575,2
101375587,2
101375612,2
101375618,2
101375660,4
101375662,2
101375674,2
101375689,2
101375720,2
101375725,2
101375770,2
101375846,2
101375863,2
101375887,2
101375920,4
101375925,2
101375934,2
101375951,2
101375983,2
101376021,2
101376025,2
101376039,2
101376048,2
101376055,2
101376061,2
101376088,2
101376123,2
101376131,2
101376133,2
101376159,2
101376188,2
101376196,2
101376200,2
101376215,2
101376218,2
101376258,2
101376309,2
101376324,2
101376345,2
101376358,2
101376371,2
101376374,2
101376400,2
101376401,2
101376404,2
101376433,2
101376477,2
101376479,2
101376552,2
101376557,2
101376583,2
101376624,2
101376674,2
101376683,2
101376708,4
101376713,2
101376714,4
101376761,4
101376834,2
101376843,2
101376844,2
101376866,2
101376880,2
101376902,2
101376908,2
101376915,2
101376923,2
101376952,2
101376961,2
101376983,2
101377006,2
101377029,2
101377103,2
101377112,2
101377170,2
101377201,2
101377233,2
101377240,2
101377275,2
101377326,2
101377335,2
101377336,2
101377337,10
101377356,2
101377360,2
101377369,4
101377404,2
101377444,2
101377491,4
101377516,2
101377570,2
101377571,2
101377581,2
101377588,2
101377619,2
101377683,2
101377790,2
101377814,2
101377817,2
101377847,4
101377872,2
101377895,2
101377947,2
101377964,2
101377977,2
101377998,2
101378025,2
101378126,2
101378195,2
101378314,2
101378343,2
101378426,2
101378431,2
101378477,2
101378491,2
101378495,2
101378517,4
101378521,2
101378530,10
101378577,2
101378677,2
101378683,2
101378696,2
101378739,2
101378742,2
101378765,2
101378783,2
101378822,2
101378825,2
101378859,2
101378923,8
101378925,2
101378930,4
101378945,2
101378948,2
101378951,2
101378955,2
101378989,2
101379120,2
101379175,2
101379179,4
101379181,2
101379184,2
101379212,2
101379219,2
101379239,2
101379324,2
101379351,2
101379356,2
101379376,2
101379403,4
101379410,2
101379436,2
101379508,2
101379513,2
101379514,2
101379515,2
101379525,2
101379537,2
101379538,2
101379610,2
101379666,2
101379688,2
101379701,2
101379705,2
101379712,2
101379730,2
101379735,2
101379736,2
101379761,2
101379780,2
101379812,2
101379829,2
101379842,2
101379909,2
101379914,2
101379933,2
101379949,2
101380056,4
101380057,6
101380061,4
101380114,2
101380184,2
101380220,2
101380250,2
101380302,4
101380334,2
101380336,2
101380346,2
101380355,2
101380392,2
101380403,2
101380428,2
101380456,2
101380465,2
101380466,2
101380473,2
101380491,2
101380515,4
101380548,2
101380654,2
101380668,2
101380716,2
101380725,2
101380743,2
101380755,2
101380802,2
101380920,2
101380934,2
101380943,2
101380967,2
101380977,2
101381001,2
101381013,2
101381048,4
101381085,2
101381087,2
101381101,2
101381110,2
101381158,2
101381163,2
101381238,4
101381245,2
101381258,2
101381259,2
101381272,2
101381277,2
101381280,2
101381299,2
101381302,2
101381333,2
101381340,2
101381408,2
101381410,2
101381414,2
101381478,2
101381537,2
101381557,2
101381563,2
101381643,2
101381663,2
101381688,2
101381697,2
101381699,2
101381708,4
101381736,2
101381741,2
101381748,2
101381781,2
101381788,2
101381804,2
101381815,2
101381839,2
101381842,2
101381852,2
101381887,2
101381909,2
101381925,2
101381929,2
101381956,2
101381964,2
101381983,2
101381987,2
101382020,2
101382056,2
101382071,4
101382085,4
101382090,2
101382110,2
101382168,4
101382179,2
101382181,2
101382214,2
101382216,2
101382249,2
101382262,4
101382284,2
101382291,2
101382293,2
101382301,2
101382303,2
101382312,2
101382313,2
101382320,2
101382325,2
101382337,2
101382346,2
101382394,2
101382396,2
101382411,2
101382421,2
101382448,2
101382478,2
101382491,4
101382501,2
101382517,2
101382568,2
101382587,2
101382602,2
101382611,2
101382615,2
101382629,2
101382630,2
101382635,2
101382642,2
101382658,2
101382672,2
101382692,2
101382701,8
101382715,2
101382734,2
101382755,2
101382769,2
101382837,2
101382838,4
101382842,2
101382854,6
101382936,2
101382941,8
101382942,2
101382956,2
101382980,2
101382987,2
101383058,2
101383077,8
101383109,2
101383152,4
101383178,2
101383211,2
101383235,2
101383241,2
101383245,2
101383278,2
101383302,4
101383339,6
101383397,2
101383402,4
101383470,2
101383489,2
101383536,2
101383545,4
101383550,2
101383565,4
101383574,2
101383578,2
101383590,2
101383625,2
101383633,2
101383669,2
101383671,2
101383702,2
101383705,2
101383747,2
101383808,2
101383847,2
101383870,2
101383875,4
101383905,2
101383907,2
101383917,2
101383921,2
101383962,2
101384030,2
101384033,4
101384051,2
101384058,2
101384114,2
101384157,2
101384163,2
101384181,2
101384189,2
101384198,2
101384216,2
101384218,2
101384257,2
101384272,4
101384306,2
101384324,4
101384363,2
101384428,2
101384514,2
101384549,2
101384576,2
101384579,2
101384583,2
101384612,2
101384680,2
101384684,2
101384727,2
101384733,2
101384740,2
101384755,2
101384792,2
101384835,2
101384846,2
101384855,2
101384907,2
101384940,2
101384956,2
101384971,2
101384975,2
101384979,2
101384981,2
101384988,2
101384995,2
101385025,2
101385112,2
101385149,2
101385167,2
101385169,4
101385170,2
101385177,2
101385191,2
101385222,2
101385253,2
101385258,2
101385266,2
101385277,2
101385290,2
101385331,2
101385355,2
101385386,2
101385456,2
101385477,2
101385540,2
101385543,2
101385597,2
101385618,2
101385652,2
101385677,2
101385709,2
101385725,2
101385805,2
101385850,2
101385908,2
101385916,2
101385979,2
101385982,6
101386009,2
101386031,2
101386105,2
101386118,2
101386155,2
101386200,2
101386211,2
101386251,4
101386322,2
101386352,2
101386368,2
101386442,4
101386454,2
101386465,2
101386467,2
101386491,6
101386509,2
101386581,2
101386619,2
101386622,2
101386642,2
101386675,2
101386692,2
101386707,4
101386722,2
101386754,2
101386768,2
101386785,2
101386794,2
101386838,2
101386886,2
101386900,2
101386906,2
101386938,2
101386942,2
101386956,2
101386967,2
101387038,2
101387051,2
101387053,2
101387062,4
101387105,2
101387170,2
101387240,2
101387243,2
101387315,2
101387320,2
101387355,2
101387364,2
101387408,4
101387415,2
101387435,2
101387449,2
101387453,2
101387462,2
101387477,2
101387503,2
101387522,2
101387668,2
101387705,2
101387745,2
101387751,2
101387761,2
101387786,2
101387789,2
101387796,2
101387821,2
101387830,2
101387859,2
101387882,2
101387938,2
101387947,2
101387953,2
101388047,2
101388086,2
101388114,2
101388177,2
101388251,2
101388265,2
101388267,2
101388323,2
101388326,2
101388330,2
101388394,2
101388399,2
101388424,2
101388442,2
101388447,2
101388452,2
101388459,2
101388500,2
101388512,2
101388558,2
101388570,2
101388578,2
101388590,2
101388623,2
101388629,2
101388640,2
101388679,2
101388735,2
101388740,2
101388743,2
101388772,2
101388789,4
101388799,4
101388842,2
101388893,2
101388942,2
101388963,4
101389050,2
101389054,2
101389089,2
101389121,2
101389136,2
101389144,2
101389247,2
101389253,2
101389259,2
101389280,2
101389304,2
101389320,2
101389346,2
101389359,2
101389373,2
101389390,2
101389437,2
101389446,2
101389463,2
101389469,2
101389477,2
101389529,2
101389643,2
101389650,2
101389716,2
101389721,2
101389726,2
101389748,2
101389757,2
101389771,2
101389814,2
101389834,2
101389835,2
101389844,2
101389845,2
101389873,2
101389879,2
101389881,2
101389893,2
101390015,2
101390021,2
101390030,2
101390036,2
101390074,2
101390092,2
101390094,2
101390098,2
101390117,2
101390170,2
101390196,2
101390213,2
101390220,2
101390236,2
101390266,2
101390269,2
101390295,2
101390321,2
101390363,2
101390383,2
101390384,2
101390385,2
101390412,2
101390416,2
101390417,2
101390439,2
101390463,2
101390533,2
101390639,2
101390659,2
101390675,2
101390682,2
101390716,2
101390722,2
101390743,2
101390746,2
101390799,2
101390806,4
101390822,2
101390823,2
101390832,2
101390841,2
101390862,2
101390865,4
101390893,2
101390895,4
101391034,2
101391044,2
101391068,2
101391094,2
101391103,2
101391110,2
101391133,2
101391185,2
101391191,4
101391225,2
101391229,2
101391258,2
101391259,2
101391283,2
101391393,2
101391432,2
101391433,2
101391493,2
101391530,4
101391531,2
101391551,2
101391569,2
101391593,2
101391619,4
101391631,2
101391658,2
101391677,2
101391683,2
101391693,2
101391696,2
101391774,2
101391818,2
101391826,2
101391840,4
101391873,2
101391979,2
101391986,2
101392002,2
101392003,2
101392022,2
101392053,2
101392090,2
101392127,2
101392167,2
101392176,2
101392233,2
101392250,2
101392286,2
101392291,2
101392303,2
101392318,2
101392376,2
101392385,2
101392388,2
101392393,2
101392416,2
101392439,2
101392441,2
101392455,2
101392462,2
101392479,2
101392525,4
101392558,2
101392562,2
101392584,2
101392601,2
101392605,2
101392656,2
101392665,2
101392691,2
101392720,2
101392729,2
101392777,2
101392780,2
101392809,2
101392901,2
101392909,2
101392911,2
101392917,2
101392930,2
101392932,2
101392977,2
101393070,2
101393099,2
101393105,2
101393122,2
101393165,2
101393201,2
101393248,2
101393254,2
101393260,2
101393329,2
101393331,2
101393405,2
101393409,2
101393424,2
101393435,2
101393450,2
101393455,2
101393461,2
101393498,2
101393499,2
101393504,2
101393531,2
101393551,2
101393596,2
101393601,2
101393602,2
101393610,2
101393623,2
101393628,2
101393663,2
101393665,2
101393678,2
101393740,2
101393748,2
101393799,2
101393811,2
101393839,2
101393853,2
101393858,2
101393859,4
101393870,2
101393873,4
101393899,4
101393964,2
101394025,2
101394028,2
101394041,2
101394067,2
101394075,2
101394128,2
101394137,2
101394147,2
101394178,2
101394181,2
101394198,2
101394252,2
101394271,2
101394276,2
101394277,2
101394289,2
101394303,2
101394317,2
101394337,4
101394340,2
101394349,2
101394361,4
101394416,2
101394438,2
101394447,2
101394449,2
101394459,4
101394583,2
101394603,2
101394631,2
101394639,2
101394675,2
101394777,2
101394794,2
101394812,2
101394848,4
101394888,4
101395021,2
101395035,2
101395036,2
101395042,2
101395066,2
101395079,2
101395102,2
101395118,2
101395142,2
101395164,2
101395172,2
101395188,2
101395291,2
101395339,2
101395485,2
101395486,2
101395515,2
101395552,2
101395654,2
101395740,2
101395794,4
101395817,2
101395828,2
101395875,2
101395907,2
101395976,4
101395991,2
101396003,2
101396029,2
101396151,2
101396171,2
101396183,2
101396232,2
101396258,2
101396286,2
101396409,2
101396413,2
101396417,8
101396439,2
101396480,4
101396487,2
101396514,2
101396529,4
101396567,2
101396646,2
101396649,2
101396662,2
101396687,2
101396768,2
101396780,2
101396791,2
101396817,2
101396821,2
101396896,2
101396970,4
101397078,2
101397143,2
101397197,2
101397214,2
101397319,2
101397395,4
101397400,2
101397432,2
101397496,2
101397511,2
101397513,2
101397547,2
101397561,2
101397584,2
101397598,2
101397624,2
101397630,2
101397641,2
101397648,2
101397693,2
101397706,2
101397729,2
101397766,4
101397794,2
101397819,2
101397873,2
101397927,2
101397961,2
101398069,2
101398079,2
101398121,2
101398129,2
101398152,2
101398168,4
101398187,2
101398255,2
101398310,2
101398362,2
101398392,2
101398474,2
101398504,2
101398555,2
101398561,2
101398568,2
101398571,2
101398575,2
101398585,2
101398614,2
101398621,2
101398622,2
101398671,2
101398678,2
101398679,2
101398682,2
101398704,2
101398709,2
101398728,2
101398739,2
101398775,2
101398827,2
101398938,2
101398960,2
101398971,2
101399004,2
101399010,2
101399028,2
101399044,2
101399086,2
101399119,2
101399129,2
101399152,2
101399164,2
101399175,2
101399182,2
101399220,2
101399227,2
101399235,2
101399246,2
101399271,2
101399279,2
101399288,2
101399292,2
101399309,2
101399335,2
101399390,2
101399396,2
101399398,2
101399431,4
101399454,2
101399509,2
101399525,2
101399558,2
101399563,2
101399564,2
101399632,2
101399653,2
101399671,2
101399711,2
101399723,2
101399771,2
101399776,2
101399782,2
101399801,2
101399848,2
101399889,2
101399933,2
101399996,2
101400014,2
101400021,2
101400034,2
101400039,2
101400056,4
101400080,2
101400089,2
101400126,2
101400138,4
101400139,2
101400149,2
101400159,2
101400190,2
101400194,4
101400206,2
101400217,2
101400258,2
101400317,2
101400319,2
101400368,2
101400385,2
101400426,2
101400434,2
101400498,2
101400513,2
101400537,2
101400594,2
101400628,2
101400637,2
101400658,2
101400766,2
101400772,2
101400778,2
101400811,2
101401023,2
101401163,2
101401207,4
101401252,2
101401253,4
101401296,2
101401319,2
101401343,2
101401406,2
101401442,2
101401470,2
101401519,2
101401555,2
101401560,2
101401574,2
101401631,2
101401695,2
101401722,2
101401766,2
101401853,2
101401869,2
101401897,2
101401938,4
101401976,2
101401979,2
101402014,2
101402019,2
101402020,2
101402027,2
101402028,2
101402062,2
101402067,2
101402071,2
101402088,2
101402092,2
101402119,2
101402147,2
101402218,2
101402253,2
101402310,2
101402335,2
101402339,4
101402370,2
101402397,2
101402433,2
101402445,2
101402470,2
101402472,2
101402478,2
101402500,2
101402535,2
101402571,2
101402605,2
101402630,6
101402642,2
101402651,2
101402687,2
101402688,2
101402753,2
101402760,2
101402776,2
101402788,2
101402838,2
101402861,2
101402865,2
101402872,2
101402891,2
101402892,2
101402900,2
101402907,2
101402962,2
101402982,2
101402985,2
101403012,2
101403014,2
101403062,2
101403069,2
101403072,2
101403090,2
101403100,2
101403111,2
101403169,2
101403178,2
101403181,2
101403183,2
101403219,2
101403230,2
101403238,2
101403244,2
101403281,2
101403308,2
101403330,2
101403344,2
101403347,2
101403380,2
101403381,2
101403391,2
101403409,2
101403421,2
101403434,2
101403438,2
101403466,2
101403472,2
101403505,2
101403579,2
101403608,2
101403626,2
101403648,2
101403650,2
101403656,2
101403664,2
101403667,6
101403674,2
101403699,2
101403739,2
101403754,2
101403789,6
101403792,2
101403811,2
101403812,2
101403826,2
101403862,2
101403867,2
101403895,2
101403902,2
101403913,2
101403924,2
101403934,2
101403982,2
101403986,2
101404015,2
101404034,2
101404044,2
101404060,4
101404124,2
101404128,2
101404129,2
101404130,2
101404139,2
101404206,2
101404218,2
101404230,2
101404235,2
101404292,2
101404317,2
101404330,2
101404343,2
101404348,2
101404369,2
101404380,2
101404404,2
101404408,2
101404418,2
101404423,2
101404424,2
101404462,2
101404492,2
101404510,2
101404538,2
101404551,2
101404558,2
101404589,2
101404591,4
101404635,2
101404654,2
101404704,2
101404715,2
101404720,8
101404757,2
101404772,2
101404797,2
101404805,2
101404833,2
101404843,2
101404851,2
101404871,2
101404892,2
101405007,2
101405008,2
101405051,2
101405053,2
101405063,2
101405065,2
101405072,2
101405100,2
101405137,2
101405182,2
101405196,2
101405224,2
101405242,2
101405259,2
101405266,2
101405271,2
101405272,2
101405302,2
101405354,2
101405355,2
101405357,2
101405399,2
101405400,2
101405413,2
101405454,2
101405455,2
101405457,2
101405485,2
101405537,2
101405538,2
101405544,2
101405549,2
101405562,2
101405572,2
101405595,2
101405600,2
101405603,2
101405611,2
101405623,2
101405627,2
101405640,2
101405715,2
101405777,2
101405781,2
101405788,2
101405795,2
101405798,2
101405819,2
101405825,2
101405827,2
101405837,2
101405895,2
101405898,2
101405901,2
101405910,2
101405923,2
101405960,2
101406014,2
101406036,2
101406050,2
101406053,2
101406078,2
101406096,2
101406107,2
101406110,2
101406141,2
101406153,2
101406203,2
101406217,2
101406266,2
101406304,2
101406307,2
101406365,2
101406374,2
101406426,2
101406449,2
101406466,2
101406475,2
101406521,2
101406533,2
101406535,2
101406576,2
101406585,2
101406594,2
101406603,2
101406610,2
101406655,2
101406664,2
101406671,2
101406682,2
101406707,2
101406742,2
101406825,2
101406830,2
101406855,2
101406889,2
101406892,2
101406924,2
101406925,2
101406926,2
101406928,2
101406936,2
101406941,2
101406951,2
101407011,4
101407021,2
101407028,2
101407060,2
101407066,2
101407080,2
101407092,2
101407147,2
101407149,2
101407167,2
101407172,2
101407216,2
101407234,4
101407265,2
101407309,2
101407360,2
101407416,2
101407428,2
101407460,2
101407502,2
101407516,2
101407521,2
101407574,2
101407585,2
101407633,2
101407640,2
101407654,2
101407668,2
101407674,2
101407763,2
101407780,2
101407786,2
101407787,2
101407791,2
101407818,2
101407826,2
101407856,2
101407924,2
101407928,4
101407931,2
101407932,2
101407947,2
101407948,2
101407968,6
101408070,2
101408074,2
101408097,2
101408110,2
101408126,2
101408201,2
101408209,2
101408229,2
101408259,2
101408271,2
101408272,2
101408283,2
101408338,2
101408347,2
101408358,2
101408362,2
101408388,2
101408409,2
101408452,2
101408459,2
101408460,2
101408481,2
101408559,2
101408569,2
101408571,2
101408670,2
101408695,2
101408702,2
101408704,2
101408734,2
101408753,2
101408763,2
101408822,2
101408923,2
101408927,2
101408929,2
101408931,2
101408943,2
101408948,2
101408966,2
101408990,2
101409028,2
101409033,2
101409070,2
101409075,2
101409087,2
101409115,2
101409118,2
101409150,2
101409169,2
101409208,2
101409221,2
101409223,2
101409241,2
101409287,2
101409297,2
101409371,4
101409390,2
101409459,2
101409460,2
101409473,2
101409479,2
101409486,2
101409488,2
101409510,2
101409521,2
101409568,2
